record_id,title,canonical_study_id,canonical_record_id,version_type,source_version,same_study_as,dedup_basis,analytical_layer,counting_status,retained_reason,notes
CP001,Leveraging intra- and inter-references in vulnerability detection using multi-agent collaboration based on LLMs,CS_CP001,CP001,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://link.springer.com/article/10.1007/s10586-025-05721-2; doi=10.1007/s10586-025-05721-2,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,CS_CP002,CP002,project_report,thesis; Zotero/FuLei518/project merged candidate; https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP003,ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection,CS_CP003,CP003,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2510.17919; doi=10.48550/ARXIV.2510.17919; arxiv=2510.17919,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP004,CQLLM: A Framework for Generating CodeQL Security Vulnerability Detection Code Based on Large Language Model,CS_CP004,CP004,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.mdpi.com/2076-3417/16/1/517; doi=10.3390/app16010517,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP005,LLM assisted dual-view awareness framework for smart contract vulnerability detection,CS_CP005,CP005,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3503-9302-6; doi=10.1109/ISSRE66568.2025.00022,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP006,Solidity meets LLMs: a transformer-based approach to smart contract vulnerability detection,CS_CP006,CP006,project_report,bookSection; Zotero/FuLei518/project merged candidate; urn:isbn:978-3-032-15631-0%20978-3-032-15632-7; doi=10.1007/978-3-032-15632-7_17,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP007,Statistical Implausibility Detection: A Framework for Identifying Evaluation Inconsistencies in Large Language Model Security Assessment,CS_CP007,CP007,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-6501-5; doi=10.1109/UEMCON67449.2025.11267712,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP008,FLAMES: fine-tuning LLMs to synthesize invariants for smart contract security,CS_CP008,CP008,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2510.21401; doi=10.48550/ARXIV.2510.21401; arxiv=2510.21401,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP009,LocVul: line-level vulnerability localization based on a sequence-to-sequence approach,CS_CP009,CP009,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.sciencedirect.com/science/article/pii/S0950584925002794; doi=10.1016/j.infsof.2025.107940,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP010,A dual perspective review on large language models and code verification,CS_CP010,CP010,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full; doi=10.3389/fcomp.2025.1655469,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
